Jenis Tanaman.,
,Produksi Buah–Buahan dan Sayuran Tahunan Menurut Jenis Tanaman di Provinsi DKI Jakarta (kuintal)
,2017
Buah–Buahan:,-
Alpukat,4687
Anggur,-
Apel,-
Belimbing,29804
Duku/Langsat,1291
Durian,436
Jambu Air,18381
Jambu Biji,10277
Jeruk Besar,143
Jeruk Siam,-
Jeruk ( Tangerine + Pomelo ),143
Mangga,60002
Manggis,-
Markisa,-
Nangka/Cempedak,3646
Nenas,-
Pepaya,4570
Pisang,43606
Rambutan,18625
Salak,4054
Sawo/Sapodilla,2868
Sirsak,808
Sukun,6889
Sayuran:,-
Jengkol,24
Melinjo,1505
Petai,191
